model,horizon,split,threshold,train_size,val_size,test_size,ensemble,accuracy,precision,recall,f1,roc_auc
logreg,30d,80/20,0.5,65129,16283,20354,False,0.6569,0.1698,0.5337,0.2577,0.6483
rf,30d,80/20,0.5,65129,16283,20354,False,0.664,0.1788,0.5597,0.271,0.6585
xgboost,30d,80/20,0.1,65129,16283,20354,False,0.5996,0.1675,0.6517,0.2665,0.6707
lightgbm,30d,80/20,0.5,65129,16283,20354,False,0.6129,0.1689,0.6297,0.2663,0.6572
catboost,30d,80/20,0.45,65129,16283,20354,False,0.5399,0.1605,0.7384,0.2637,0.6786
rnn,30d,80/20,0.15,65129,16283,20354,False,0.74,0.184,0.3875,0.2495,0.6313
gb_ensemble,30d,80/20,0.35,65129,16283,20354,True,0.5843,0.1688,0.6944,0.2715,0.6798
tri_ensemble,30d,80/20,0.35,65129,16283,20354,True,0.5843,0.1688,0.6944,0.2715,0.6798
logreg,30d,70/30,0.5,56988,14248,30530,False,0.6536,0.1693,0.5383,0.2575,0.6434
rf,30d,70/30,0.5,56988,14248,30530,False,0.6511,0.1717,0.5562,0.2624,0.6506
xgboost,30d,70/30,0.1,56988,14248,30530,False,0.5959,0.1654,0.6478,0.2635,0.668
lightgbm,30d,70/30,0.5,56988,14248,30530,False,0.6166,0.1673,0.6126,0.2629,0.6536
catboost,30d,70/30,0.45,56988,14248,30530,False,0.5368,0.1577,0.7259,0.2591,0.6712
rnn,30d,70/30,0.15,56988,14248,30530,False,0.7403,0.1761,0.3607,0.2366,0.6239
gb_ensemble,30d,70/30,0.35,56988,14248,30530,True,0.5768,0.1653,0.6895,0.2666,0.6741
tri_ensemble,30d,70/30,0.35,56988,14248,30530,True,0.5768,0.1653,0.6895,0.2666,0.6741
logreg,30d,75/25,0.5,61059,15265,25442,False,0.6551,0.1685,0.5312,0.2558,0.6455
rf,30d,75/25,0.5,61059,15265,25442,False,0.661,0.1752,0.5498,0.2658,0.6551
xgboost,30d,75/25,0.1,61059,15265,25442,False,0.6029,0.1704,0.6615,0.271,0.676
lightgbm,30d,75/25,0.5,61059,15265,25442,False,0.6237,0.1707,0.6147,0.2671,0.657
catboost,30d,75/25,0.45,61059,15265,25442,False,0.5337,0.1592,0.7425,0.2622,0.6777
rnn,30d,75/25,0.15,61059,15265,25442,False,0.7492,0.1751,0.3364,0.2303,0.6214
gb_ensemble,30d,75/25,0.35,61059,15265,25442,True,0.5798,0.1672,0.6946,0.2695,0.6798
tri_ensemble,30d,75/25,0.35,61059,15265,25442,True,0.5798,0.1672,0.6946,0.2695,0.6798
logreg,30d,65/35,0.45,52917,13230,35619,False,0.5203,0.1478,0.6918,0.2435,0.6417
rf,30d,65/35,0.5,52917,13230,35619,False,0.6687,0.1734,0.5225,0.2604,0.6484
xgboost,30d,65/35,0.1,52917,13230,35619,False,0.6007,0.1656,0.638,0.2629,0.6641
lightgbm,30d,65/35,0.5,52917,13230,35619,False,0.641,0.1711,0.5769,0.264,0.6491
catboost,30d,65/35,0.45,52917,13230,35619,False,0.5414,0.1574,0.7145,0.258,0.6666
rnn,30d,65/35,0.15,52917,13230,35619,False,0.7065,0.1704,0.4214,0.2427,0.619
gb_ensemble,30d,65/35,0.35,52917,13230,35619,True,0.5809,0.1653,0.6805,0.266,0.6701
tri_ensemble,30d,65/35,0.3333,52917,13230,35619,True,0.5493,0.1587,0.7067,0.2592,0.669
logreg,30d,60/40,0.5,48847,12212,40707,False,0.6535,0.1672,0.5289,0.2541,0.6418
rf,30d,60/40,0.5,48847,12212,40707,False,0.6527,0.1714,0.551,0.2615,0.649
xgboost,30d,60/40,0.1,48847,12212,40707,False,0.5956,0.1651,0.6467,0.263,0.6629
lightgbm,30d,60/40,0.5,48847,12212,40707,False,0.6022,0.1633,0.6218,0.2587,0.6492
catboost,30d,60/40,0.45,48847,12212,40707,False,0.5375,0.1565,0.7165,0.2569,0.6684
rnn,30d,60/40,0.15,48847,12212,40707,False,0.7754,0.1872,0.3031,0.2315,0.619
gb_ensemble,30d,60/40,0.35,48847,12212,40707,True,0.5736,0.1635,0.685,0.264,0.6712
tri_ensemble,30d,60/40,0.35,48847,12212,40707,True,0.5736,0.1635,0.685,0.264,0.6712
logreg,30d,60/20/20,0.5,61059,20353,20354,False,0.6545,0.1672,0.5264,0.2538,0.64
rf,30d,60/20/20,0.5,61059,20353,20354,False,0.6543,0.1728,0.5537,0.2634,0.6496
xgboost,30d,60/20/20,0.1,61059,20353,20354,False,0.5976,0.1651,0.6422,0.2627,0.6679
lightgbm,30d,60/20/20,0.5,61059,20353,20354,False,0.6002,0.163,0.6246,0.2586,0.6496
catboost,30d,60/20/20,0.45,61059,20353,20354,False,0.5355,0.1549,0.7095,0.2543,0.6647
rnn,30d,60/20/20,0.15,61059,20353,20354,False,0.7884,0.1925,0.2804,0.2283,0.6133
gb_ensemble,30d,60/20/20,0.35,61059,20353,20354,True,0.5738,0.1619,0.6747,0.2612,0.6692
tri_ensemble,30d,60/20/20,0.35,61059,20353,20354,True,0.5738,0.1619,0.6747,0.2612,0.6692
logreg,30d,70/15/15,0.45,71236,15264,15266,False,0.5166,0.1436,0.6708,0.2365,0.6307
rf,30d,70/15/15,0.5,71236,15264,15266,False,0.6555,0.1682,0.5288,0.2552,0.6443
xgboost,30d,70/15/15,0.1,71236,15264,15266,False,0.5984,0.1696,0.6667,0.2704,0.6702
